Waf: Entering directory `/home/vagrant/ns3/ns-allinone-3.35/ns-3.35/build'
[964/968] Compiling overlayApplication.cc
[968/968] Linking ../../build/scratch/MinCostFixRate/MinCostFixRate
Waf: Leaving directory `/home/vagrant/ns3/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.636s)
underlay_file: /vagrant/Documents/vagrant_shared_folder/Abvt.graph
overlay_file: /home/vagrant/ns3/ns-allinone-3.35/ns-3.35/scratch/MinCostFixRate/overlay.txt
route_table: /home/vagrant/ns3/ns-allinone-3.35/ns-3.35/scratch/MinCostFixRate/route_table.txt
Run Simulation.
Node ID: 9 start at 92
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.1337e+07ns, PktID= 2: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.1337e+07ns, PktID= 2: src:9 dest:14
Node ID: 0 forward at: 11337
Node ID: 0PktID: 2src: 9 -dest: 14 queue backlog: 5 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.1337e+07ns, PktID= 2: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/MacTx	+1.1337e+07ns, PktID= 2: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/TxQueue/Enqueue: trace_NetDeviceQueueEnqueue from 9 to 14
Node ID: 6 forward at: 11353.2
Node ID: 7 forward at: 11354.6
Node ID: 1 forward at: 11376.7
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxBegin	+1.13853e+07ns, PktID= 2: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxEnd	+1.13937e+07ns, PktID= 2: src:9 dest:14
Node ID: 8 forward at: 11429.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.1463e+07ns, PktID= 3: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.1463e+07ns, PktID= 3: src:9 dest:14
Node ID: 0 forward at: 11463
Node ID: 0PktID: 3src: 9 -dest: 14 queue backlog: 7 limit = 20p
